"","cluster","variable","value","pos","freq","freq2"
"522","cluster_6","66",0,0,0,""
"523","cluster_6","50",0,0,0,""
"524","cluster_6","91",0,0,0,""
"525","cluster_6","42",0,0,0,""
"526","cluster_6","28",0,0,0,""
"527","cluster_6","89",0,0,0,""
"528","cluster_6","83",0,0,0,""
"529","cluster_6","32",0,0,0,""
"530","cluster_6","48",0,0,0,""
"531","cluster_6","40",0,0,0,""
"532","cluster_6","33",0,0,0,""
"533","cluster_6","95",0,0,0,""
"534","cluster_6","35",0,0,0,""
"535","cluster_6","55",0,0,0,""
"536","cluster_6","31",0,0,0,""
"537","cluster_6","17",0,0,0,""
"538","cluster_6","76",0,0,0,""
"539","cluster_6","14",0,0,0,""
"540","cluster_6","22",0,0,0,""
"541","cluster_6","54",0,0,0,""
"542","cluster_6","12",0,0,0,""
"543","cluster_6","90",0,0,0,""
"544","cluster_6","77",0,0,0,""
"545","cluster_6","59",0,0,0,""
"546","cluster_6","64",0,0,0,""
"547","cluster_6","5",0,0,0,""
"548","cluster_6","70",0,0,0,""
"549","cluster_6","57",0,0,0,""
"550","cluster_6","88",0,0,0,""
"551","cluster_6","80",0,0,0,""
"552","cluster_6","65",0,0,0,""
"553","cluster_6","24",0,0,0,""
"554","cluster_6","71",0,0,0,""
"555","cluster_6","41",0,0,0,""
"556","cluster_6","46",0,0,0,""
"557","cluster_6","1",0,0,0,""
"558","cluster_6","20",0,0,0,""
"559","cluster_6","45",0,0,0,""
"560","cluster_6","2",0,0,0,""
"561","cluster_6","30",0,0,0,""
"562","cluster_6","51",0,0,0,""
"563","cluster_6","94",0,0,0,""
"564","cluster_6","84",0,0,0,""
"565","cluster_6","43",0,0,0,""
"566","cluster_6","81",0,0,0,""
"567","cluster_6","96",0,0,0,""
"568","cluster_6","26",0.142857142857143,0.0714285714285714,0.14,"0.14"
"569","cluster_6","86",0,0.142857142857143,0,""
"570","cluster_6","49",0.142857142857143,0.214285714285714,0.14,"0.14"
"571","cluster_6","58",0,0.285714285714286,0,""
"572","cluster_6","10",0.142857142857143,0.357142857142857,0.14,"0.14"
"573","cluster_6","73",0.142857142857143,0.5,0.14,"0.14"
"574","cluster_6","93",0.142857142857143,0.642857142857143,0.14,"0.14"
"575","cluster_6","21",0.142857142857143,0.785714285714286,0.14,"0.14"
"576","cluster_6","34",0.142857142857143,0.928571428571428,0.14,"0.14"
