Chip Run Info,F:\1363029192\ChipRun.bml,1363029192,96.96 (136x),GE 96x96 Express+Melt_v1,ROX,EvaGreen,11/7/25 19:02,1:43:02,X9-190034,SamplePlateName: Undefined,SamplePlateBarCode: Undefined,ReagentPlateName: Undefined,ReagentPlateBarCode: Undefined,
Application Version,4.7.1,,,,,,,,,,,,,
Application Build,20200930.17,,,,,,,,,,,,,
Export Type,Table Results,,,,,,,,,,,,,
Quality Threshold,0.65,,,,,,,,,,,,,
Baseline Correction Method,Linear (Derivative),,,,,,,,,,,,,
Ct Threshold Method,Auto (Global),,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,,
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm,,
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,,
S96-A88,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,IL3,Test,999,0,Flag,0.023073164,999,999,0,,IL3
S96-A87,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,IL12B,Test,999,0,Flag,0.023073164,999,999,0,,IL12B
S96-A86,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,GAPDH,Test,9.552507248,1,Pass,0.023073164,82.91773368,999,1,,GAPDH
S96-A85,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,CD3E,Test,999,0,Flag,0.023073164,999,999,0,,CD3E
S96-A96,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,ZEB2,Test,999,0,Flag,0.023073164,999,999,0,,ZEB2
S96-A95,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,STAT3,Test,15.56257889,1,Pass,0.023073164,78.98104604,999,1,,STAT3
S96-A94,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,NUR77,Test,999,0,Flag,0.023073164,999,999,0,,NUR77
S96-A93,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,IRF7,Test,14.96829163,1,Pass,0.023073164,82.41413103,65.92842956,0.988870609,,IRF7
S96-A92,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,IFIT3,Test,13.09555305,1,Pass,0.023073164,82.16109106,64.03467826,0.965245695,,IFIT3
S96-A91,SEEP05_wk11_NOD-M_96_IS_doublet_none_H12,Unknown,1,CXCL10,Test,14.85113552,1,Pass,0.023073164,85.25567413,67.54277962,0.872008702,,CXCL10
S06-A01,SEEP05_wk11_NOD-M_6_IS_doublet_none_A6,Unknown,1,BCL6,Test,999,0,Flag,0.023073164,999,999,0,,BCL6
S06-A02,SEEP05_wk11_NOD-M_6_IS_doublet_none_A6,Unknown,1,CD4,Test,999,0,Flag,0.023073164,999,999,0,,CD4
S06-A03,SEEP05_wk11_NOD-M_6_IS_doublet_none_A6,Unknown,1,GATA4,Test,999,0,Flag,0.023073164,999,999,0,,GATA4
S06-A04,SEEP05_wk11_NOD-M_6_IS_doublet_none_A6,Unknown,1,IL17A,Test,999,0,Flag,0.023073164,999,999,0,,IL17A
S06-A05,SEEP05_wk11_NOD-M_6_IS_doublet_none_A6,Unknown,1,IL4,Test,999,0,Flag,0.023073164,999,999,0,,IL4
S06-A06,SEEP05_wk11_NOD-M_6_IS_doublet_none_A6,Unknown,1,PPARA,Test,999,0,Flag,0.023073164,999,999,0,,PPARA
S06-A07,SEEP05_wk11_NOD-M_6_IS_doublet_none_A6,Unknown,1,AIM2,Test,999,0,Flag,0.023073164,999,999,0,,AIM2
S06-A08,SEEP05_wk11_NOD-M_6_IS_doublet_none_A6,Unknown,1,CXCR3,Test,999,0,Flag,0.023073164,999,999,0,,CXCR3
S06-A09,SEEP05_wk11_NOD-M_6_IS_doublet_none_A6,Unknown,1,IFNGR1,Test,999,0,Flag,0.023073164,999,999,0,,IFNGR1
S06-A10,SEEP05_wk11_NOD-M_6_IS_doublet_none_A6,Unknown,1,ISG15,Test,15.241572,1,Pass,0.023073164,82.13816596,67.96546838,0.981906656,,ISG15
S06-A11,SEEP05_wk11_NOD-M_6_IS_doublet_none_A6,Unknown,1,OAS1B,Test,999,0,Flag,0.023073164,999,999,0,,OAS1B
S06-A12,SEEP05_wk11_NOD-M_6_IS_doublet_none_A6,Unknown,1,STAT4,Test,999,0,Flag,0.023073164,999,999,0,,STAT4
S06-A13,SEEP05_wk11_NOD-M_6_IS_doublet_none_A6,Unknown,1,CCR2,Test,15.14337184,1,Pass,0.023073164,77.16325349,999,1,,CCR2
S06-A14,SEEP05_wk11_NOD-M_6_IS_doublet_none_A6,Unknown,1,CD40,Test,999,0,Flag,0.023073164,999,999,0,,CD40
S06-A15,SEEP05_wk11_NOD-M_6_IS_doublet_none_A6,Unknown,1,GSK3A,Test,23.54191584,1,Pass,0.023073164,79.99054309,999,1,,GSK3A
S06-A16,SEEP05_wk11_NOD-M_6_IS_doublet_none_A6,Unknown,1,IL1R2,Test,999,0,Flag,0.023073164,999,999,0,,IL1R2
S06-A17,SEEP05_wk11_NOD-M_6_IS_doublet_none_A6,Unknown,1,IL4RA,Test,999,0,Flag,0.023073164,999,999,0,,IL4RA
S06-A18,SEEP05_wk11_NOD-M_6_IS_doublet_none_A6,Unknown,1,PPARG,Test,999,0,Flag,0.023073164,999,999,0,,PPARG
S06-A19,SEEP05_wk11_NOD-M_6_IS_doublet_none_A6,Unknown,1,BCL2,Test,17.98461377,1,Pass,0.023073164,82.92313424,999,1,,BCL2
S06-A20,SEEP05_wk11_NOD-M_6_IS_doublet_none_A6,Unknown,1,CXCR4,Test,999,0,Flag,0.023073164,999,999,0,,CXCR4
S06-A21,SEEP05_wk11_NOD-M_6_IS_doublet_none_A6,Unknown,1,IL12RB,Test,999,0,Flag,0.023073164,999,999,0,,IL12RB
S06-A22,SEEP05_wk11_NOD-M_6_IS_doublet_none_A6,Unknown,1,JAK1,Test,999,0,Flag,0.023073164,999,999,0,,JAK1
S06-A23,SEEP05_wk11_NOD-M_6_IS_doublet_none_A6,Unknown,1,OAS2,Test,999,0,Flag,0.023073164,999,999,0,,OAS2
