Chip Run Info,F:\1363029033\ChipRun.bml,1363029033,96.96 (136x),GE 96x96 Express+Melt_v1,ROX,EvaGreen,11/8/2025 9:55:10 AM,01:44:51,X9-190034,SamplePlateName: Undefined,SamplePlateBarCode: Undefined,ReagentPlateName: Undefined,ReagentPlateBarCode: Undefined
Application Version,4.7.1
Application Build,20200930.1707
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio
S06-A06,SEEP05_wk11_NOD-M_6_IS_doublet_none_A6,Unknown,1,H2-DMA,Test,17.5150030934714,0,Flag,0.021487681662316,999,85.9710139773055,0
S06-A07,SEEP05_wk11_NOD-M_6_IS_doublet_none_A6,Unknown,1,IGF2,Test,18.9294227048721,0,Flag,0.021487681662316,999,84.7148356798301,0
S06-A08,SEEP05_wk11_NOD-M_6_IS_doublet_none_A6,Unknown,1,KDR,Test,999,0,Flag,0.021487681662316,999,999,0
S06-A09,SEEP05_wk11_NOD-M_6_IS_doublet_none_A6,Unknown,1,MMP9,Test,999,0,Flag,0.021487681662316,999,999,0
S06-A10,SEEP05_wk11_NOD-M_6_IS_doublet_none_A6,Unknown,1,PPY,Test,24.1559028669881,0,Flag,0.021487681662316,999,83.5415663373736,0
S06-A11,SEEP05_wk11_NOD-M_6_IS_doublet_none_A6,Unknown,1,TEK,Test,999,0,Flag,0.021487681662316,999,999,0
S06-A12,SEEP05_wk11_NOD-M_6_IS_doublet_none_A6,Unknown,1,TNC,Test,16.9859789791395,1,Pass,0.021487681662316,84.5410527708073,66.1074662928643,0.813483411964173
S06-A13,SEEP05_wk11_NOD-M_6_IS_doublet_none_A6,Unknown,1,ACVR1,Test,999,0,Flag,0.021487681662316,999,999,0
S06-A14,SEEP05_wk11_NOD-M_6_IS_doublet_none_A6,Unknown,1,CD3E,Test,999,0,Flag,0.021487681662316,999,999,0
S06-A15,SEEP05_wk11_NOD-M_6_IS_doublet_none_A6,Unknown,1,CLEC7A,Test,999,0,Flag,0.021487681662316,999,999,0
S06-A16,SEEP05_wk11_NOD-M_6_IS_doublet_none_A6,Unknown,1,CXCL13,Test,17.3708031451252,1,Pass,0.021487681662316,81.0550367418898,66.5045257678993,0.826050701329381
S06-A17,SEEP05_wk11_NOD-M_6_IS_doublet_none_A6,Unknown,1,FGR,Test,999,0,Flag,0.021487681662316,999,999,0
S06-A18,SEEP05_wk11_NOD-M_6_IS_doublet_none_A6,Unknown,1,HIF1A,Test,999,0,Flag,0.021487681662316,999,999,0
S06-A19,SEEP05_wk11_NOD-M_6_IS_doublet_none_A6,Unknown,1,IL1A,Test,999,0,Flag,0.021487681662316,999,999,0
S06-A20,SEEP05_wk11_NOD-M_6_IS_doublet_none_A6,Unknown,1,KLF5,Test,999,0,Flag,0.021487681662316,999,999,0
S06-A21,SEEP05_wk11_NOD-M_6_IS_doublet_none_A6,Unknown,1,NFATC1,Test,999,0,Flag,0.021487681662316,999,999,0
S06-A22,SEEP05_wk11_NOD-M_6_IS_doublet_none_A6,Unknown,1,PTGS2,Test,17.9893628870782,0,Flag,0.021487681662316,999,81.756978039841,0
S06-A23,SEEP05_wk11_NOD-M_6_IS_doublet_none_A6,Unknown,1,TGFB1,Test,999,0,Flag,0.021487681662316,999,999,0
S06-A24,SEEP05_wk11_NOD-M_6_IS_doublet_none_A6,Unknown,1,TNFSF11,Test,999,0,Flag,0.021487681662316,999,999,0
S06-A25,SEEP05_wk11_NOD-M_6_IS_doublet_none_A6,Unknown,1,ANGPT1,Test,999,0,Flag,0.021487681662316,999,999,0
S06-A26,SEEP05_wk11_NOD-M_6_IS_doublet_none_A6,Unknown,1,CD4,Test,999,0,Flag,0.021487681662316,999,999,0
S06-A27,SEEP05_wk11_NOD-M_6_IS_doublet_none_A6,Unknown,1,COL11A1,Test,23.9685743584018,0,Flag,0.021487681662316,999,66.8925759756814,0
S06-A28,SEEP05_wk11_NOD-M_6_IS_doublet_none_A6,Unknown,1,DES,Test,15.4353677060121,0,Flag,0.021487681662316,999,83.9896673951268,0
